,subject,session,block,trial,difficulty,stim_end,response,rt,stim_onset
206,BE,02,3.0,206.0,48.0,0.5,2.0,1.6392877999460325,870.889685400005
207,BE,02,3.0,207.0,48.0,3.0,1.0,0.38920159998815507,874.6383510999731
208,BE,02,3.0,208.0,10.0,0.75,1.0,0.924660499964375,879.6436982000014
209,BE,02,3.0,209.0,48.0,0.1,2.0,1.3709364999667741,882.9370598999667
210,BE,02,3.0,210.0,48.0,1.0,1.0,0.5586867000092752,886.0160913
211,BE,02,3.0,211.0,52.0,0.5,2.0,1.548714300035499,889.2015137000126
212,BE,02,3.0,212.0,90.0,0.3,2.0,0.3992665000259876,892.8642477999674
213,BE,02,3.0,213.0,52.0,0.1,2.0,1.1851773000089452,895.1788056999794
214,BE,02,3.0,214.0,20.0,0.75,1.0,0.34494929999345914,898.0768819000223
215,BE,02,3.0,215.0,52.0,3.0,2.0,0.47870189999230206,900.8189776000218
216,BE,02,3.0,216.0,48.0,5.0,1.0,0.5442336999694817,905.9076543999836
217,BE,02,3.0,217.0,48.0,0.5,1.0,1.9851205000304617,913.0710330000147
218,BE,02,3.0,218.0,52.0,5.0,2.0,0.5782887000241317,917.1872287999722
219,BE,02,3.0,219.0,48.0,1.0,1.0,0.7820012999582104,924.4017192000174
220,BE,02,3.0,220.0,52.0,1.0,1.0,0.4567753000301309,927.8072479999973
221,BE,02,3.0,221.0,52.0,0.75,2.0,0.4030833999859169,930.8791440000059
222,BE,02,3.0,222.0,48.0,1.0,2.0,0.4749216000200249,933.6580532999942
223,BE,02,3.0,223.0,52.0,0.75,2.0,0.43954170000506565,936.7406564999837
224,BE,02,3.0,224.0,52.0,0.1,1.0,1.00813690002542,939.6408814999741
225,BE,02,3.0,225.0,48.0,0.1,2.0,0.9652128999587148,942.3585678999661
226,BE,02,3.0,226.0,52.0,3.0,2.0,0.9412918000016361,945.0495563999866
227,BE,02,3.0,227.0,52.0,0.3,2.0,1.2593638999969698,950.6054356999812
228,BE,02,3.0,228.0,52.0,0.5,2.0,0.6502879000036046,953.7877893999685
229,BE,02,3.0,229.0,52.0,3.0,1.0,0.43763330002548173,956.5459323999821
230,BE,02,3.0,230.0,48.0,0.5,1.0,0.7870210999972187,961.5992441999842
231,BE,02,3.0,231.0,48.0,7.0,1.0,0.4287204999709502,964.4928979999968
232,BE,02,3.0,232.0,52.0,0.5,1.0,1.4347712000017054,973.5467912000022
233,BE,02,3.0,233.0,52.0,0.5,2.0,0.8347844000090845,977.0944917000015
234,BE,02,3.0,234.0,48.0,0.75,1.0,0.534907600027509,980.0458486999851
235,BE,02,3.0,235.0,48.0,0.3,1.0,0.585033499985002,982.95780069998
236,BE,02,3.0,236.0,90.0,0.5,2.0,0.33855190000031143,985.4574942999752
237,BE,02,3.0,237.0,52.0,0.1,1.0,0.6758623999776319,987.9064745000214
238,BE,02,3.0,238.0,52.0,1.0,2.0,0.392201800015755,990.3038436999777
239,BE,02,3.0,239.0,48.0,0.1,1.0,1.4368130000075325,993.3191519000102
240,BE,02,3.0,240.0,52.0,7.0,2.0,0.36188929999480024,996.4696558999713
241,BE,02,3.0,241.0,48.0,1.0,1.0,0.39070660003926605,1005.463626199984
242,BE,02,3.0,242.0,48.0,0.75,2.0,1.186366599984467,1008.4608139999909
243,BE,02,3.0,243.0,52.0,5.0,1.0,0.5752298999577761,1012.0085291999858
244,BE,02,3.0,244.0,10.0,0.5,1.0,0.3726874999701977,1019.207115600002
245,BE,02,3.0,245.0,52.0,7.0,2.0,0.42840390000492334,1021.6942273000022
246,BE,02,3.0,246.0,48.0,0.1,2.0,0.7439730000332929,1030.7520812000148
247,BE,02,3.0,247.0,48.0,5.0,1.0,0.5778110999963246,1033.2213935999898
248,BE,02,3.0,248.0,48.0,0.3,,,1040.4138288999675
249,BE,02,3.0,249.0,52.0,0.3,2.0,0.6237872000201605,1044.3471547000227
250,BE,02,3.0,250.0,52.0,0.75,2.0,0.8846283000311814,1046.9110870999866
251,BE,02,3.0,251.0,48.0,0.5,1.0,0.8437160999746993,1050.154613199993
252,BE,02,3.0,252.0,52.0,1.0,2.0,0.7948085999814793,1053.108430399967
253,BE,02,3.0,253.0,52.0,0.5,2.0,0.8555790000245906,1056.5377048999653
254,BE,02,3.0,254.0,52.0,7.0,1.0,0.4890482000191696,1059.5052962999907
